Continent,Country,Pivot Field Names,Year,Pivot Field Values,Rank
Oceania,New Zealand,Score,2015,7.286,9
Oceania,Australia,Economy,2015,1.33358,10
Oceania,Australia,Family,2015,1.30923,10
Oceania,Australia,Freedom,2015,0.65124,10
Oceania,Australia,Generosity,2015,0.43562,10
Oceania,Australia,Government trust,2015,0.35637,10
Oceania,Australia,Health (Life Expectancy),2015,0.93156,10
Oceania,Australia,Score,2015,7.284,10
Asia,Israel,Economy,2015,1.22857,11
Asia,Israel,Family,2015,1.22393,11
Asia,Israel,Freedom,2015,0.41319,11
Asia,Israel,Generosity,2015,0.33172,11
Asia,Israel,Government trust,2015,0.07785,11
Asia,Israel,Health (Life Expectancy),2015,0.91387,11
Asia,Israel,Score,2015,7.278,11
North America,Costa Rica,Economy,2015,0.95578,12
North America,Costa Rica,Family,2015,1.23788,12
North America,Costa Rica,Freedom,2015,0.63376,12
North America,Costa Rica,Generosity,2015,0.25497,12
North America,Costa Rica,Government trust,2015,0.10583,12
North America,Costa Rica,Health (Life Expectancy),2015,0.86027,12
North America,Costa Rica,Score,2015,7.226,12
Europe,Austria,Economy,2015,1.33723,13
Europe,Austria,Family,2015,1.29704,13
Europe,Austria,Freedom,2015,0.62433,13
Europe,Austria,Generosity,2015,0.33088,13
Europe,Austria,Government trust,2015,0.18676,13
Europe,Austria,Health (Life Expectancy),2015,0.89042,13
Europe,Austria,Score,2015,7.2,13
North America,Mexico,Economy,2015,1.02054,14
North America,Mexico,Family,2015,0.91451,14
North America,Mexico,Freedom,2015,0.48181,14
North America,Mexico,Generosity,2015,0.14074,14
North America,Mexico,Government trust,2015,0.21312,14
North America,Mexico,Health (Life Expectancy),2015,0.81444,14
North America,Mexico,Score,2015,7.187,14
North America,United States,Economy,2015,1.39451,15
North America,United States,Family,2015,1.24711,15
North America,United States,Freedom,2015,0.54604,15
North America,United States,Generosity,2015,0.40105,15
North America,United States,Government trust,2015,0.1589,15
North America,United States,Health (Life Expectancy),2015,0.86179,15
North America,United States,Score,2015,7.119,15
South America,Brazil,Economy,2015,0.98124,16
South America,Brazil,Family,2015,1.23287,16
South America,Brazil,Freedom,2015,0.49049,16
South America,Brazil,Generosity,2015,0.14574,16
South America,Brazil,Government trust,2015,0.17521,16
South America,Brazil,Health (Life Expectancy),2015,0.69702,16
South America,Brazil,Score,2015,6.983,16
Europe,Luxembourg,Economy,2015,1.56391,17
Europe,Luxembourg,Family,2015,1.21963,17
Europe,Luxembourg,Freedom,2015,0.61583,17
Europe,Luxembourg,Generosity,2015,0.28034,17
Europe,Luxembourg,Government trust,2015,0.37798,17
Europe,Luxembourg,Health (Life Expectancy),2015,0.91894,17
Europe,Luxembourg,Score,2015,6.946,17
Europe,Ireland,Economy,2015,1.33596,18
Europe,Ireland,Family,2015,1.36948,18
Europe,Ireland,Freedom,2015,0.61777,18
Europe,Ireland,Generosity,2015,0.45901,18
Europe,Ireland,Government trust,2015,0.28703,18
Europe,Ireland,Health (Life Expectancy),2015,0.89533,18
Europe,Ireland,Score,2015,6.94,18
Europe,Belgium,Economy,2015,1.30782,19
Europe,Belgium,Family,2015,1.28566,19
Europe,Belgium,Freedom,2015,0.5845,19
Europe,Belgium,Generosity,2015,0.2225,19
Europe,Belgium,Government trust,2015,0.2254,19
Europe,Belgium,Health (Life Expectancy),2015,0.89667,19
Europe,Belgium,Score,2015,6.937,19
Asia,United Arab Emirates,Economy,2015,1.42727,20
Asia,United Arab Emirates,Family,2015,1.12575,20
Asia,United Arab Emirates,Freedom,2015,0.64157,20
Asia,United Arab Emirates,Generosity,2015,0.26428,20
Asia,United Arab Emirates,Government trust,2015,0.38583,20
Asia,United Arab Emirates,Health (Life Expectancy),2015,0.80925,20
Asia,United Arab Emirates,Score,2015,6.901,20
Europe,United Kingdom,Economy,2015,1.26637,21
Europe,United Kingdom,Family,2015,1.28548,21
Europe,United Kingdom,Freedom,2015,0.59625,21
Europe,United Kingdom,Generosity,2015,0.51912,21
Europe,United Kingdom,Government trust,2015,0.32067,21
Europe,United Kingdom,Health (Life Expectancy),2015,0.90943,21
Europe,United Kingdom,Score,2015,6.867,21
Asia,Oman,Economy,2015,1.36011,22
Asia,Oman,Family,2015,1.08182,22
Asia,Oman,Freedom,2015,0.63274,22
Asia,Oman,Generosity,2015,0.21542,22
Asia,Oman,Government trust,2015,0.32524,22
Asia,Oman,Health (Life Expectancy),2015,0.76276,22
Asia,Oman,Score,2015,6.853,22
South America,Venezuela,Economy,2015,1.04424,23
South America,Venezuela,Family,2015,1.25596,23
South America,Venezuela,Freedom,2015,0.42908,23
South America,Venezuela,Generosity,2015,0.05841,23
South America,Venezuela,Government trust,2015,0.11069,23
South America,Venezuela,Health (Life Expectancy),2015,0.72052,23
South America,Venezuela,Score,2015,6.81,23
Asia,Singapore,Economy,2015,1.52186,24
Asia,Singapore,Family,2015,1.02,24
Asia,Singapore,Freedom,2015,0.54252,24
Asia,Singapore,Generosity,2015,0.31105,24
Asia,Singapore,Government trust,2015,0.4921,24
Asia,Singapore,Health (Life Expectancy),2015,1.02525,24
Asia,Singapore,Score,2015,6.798,24
North America,Panama,Economy,2015,1.06353,25
North America,Panama,Family,2015,1.1985,25
North America,Panama,Freedom,2015,0.5421,25
North America,Panama,Generosity,2015,0.24434,25
North America,Panama,Government trust,2015,0.0927,25
North America,Panama,Health (Life Expectancy),2015,0.79661,25
North America,Panama,Score,2015,6.786,25
Europe,Germany,Economy,2015,1.32792,26
Europe,Germany,Family,2015,1.29937,26
Europe,Germany,Freedom,2015,0.61477,26
Europe,Germany,Generosity,2015,0.28214,26
Europe,Germany,Government trust,2015,0.21843,26
Europe,Germany,Health (Life Expectancy),2015,0.89186,26
Europe,Germany,Score,2015,6.75,26
South America,Chile,Economy,2015,1.10715,27
South America,Chile,Family,2015,1.12447,27
South America,Chile,Freedom,2015,0.44132,27
South America,Chile,Generosity,2015,0.33363,27
South America,Chile,Government trust,2015,0.12869,27
South America,Chile,Health (Life Expectancy),2015,0.85857,27
South America,Chile,Score,2015,6.67,27
Asia,Qatar,Economy,2015,1.69042,28
Asia,Qatar,Family,2015,1.0786,28
Asia,Qatar,Freedom,2015,0.6404,28
Asia,Qatar,Generosity,2015,0.32573,28
Asia,Qatar,Government trust,2015,0.52208,28
Asia,Qatar,Health (Life Expectancy),2015,0.79733,28
Asia,Qatar,Score,2015,6.611,28
Europe,France,Economy,2015,1.27778,29
Europe,France,Family,2015,1.26038,29
Europe,France,Freedom,2015,0.55011,29
Europe,France,Generosity,2015,0.12332,29
Europe,France,Government trust,2015,0.20646,29
Europe,France,Health (Life Expectancy),2015,0.94579,29
Europe,France,Score,2015,6.575,29
South America,Argentina,Economy,2015,1.05351,30
South America,Argentina,Family,2015,1.24823,30
South America,Argentina,Freedom,2015,0.44974,30
South America,Argentina,Generosity,2015,0.11451,30
South America,Argentina,Government trust,2015,0.08484,30
South America,Argentina,Health (Life Expectancy),2015,0.78723,30
South America,Argentina,Score,2015,6.574,30
Europe,Czech Republic,Economy,2015,1.17898,31
Europe,Czech Republic,Family,2015,1.20643,31
Europe,Czech Republic,Freedom,2015,0.46364,31
Europe,Czech Republic,Generosity,2015,0.10686,31
Europe,Czech Republic,Government trust,2015,0.02652,31
Europe,Czech Republic,Health (Life Expectancy),2015,0.84483,31
Europe,Czech Republic,Score,2015,6.505,31
South America,Uruguay,Economy,2015,1.06166,32
South America,Uruguay,Family,2015,1.2089,32
South America,Uruguay,Freedom,2015,0.60362,32
South America,Uruguay,Generosity,2015,0.2324,32
South America,Uruguay,Government trust,2015,0.24558,32
South America,Uruguay,Health (Life Expectancy),2015,0.8116,32
South America,Uruguay,Score,2015,6.485,32
South America,Colombia,Economy,2015,0.91861,33
South America,Colombia,Family,2015,1.24018,33
South America,Colombia,Freedom,2015,0.53466,33
South America,Colombia,Generosity,2015,0.18401,33
South America,Colombia,Government trust,2015,0.0512,33
South America,Colombia,Health (Life Expectancy),2015,0.69077,33
South America,Colombia,Score,2015,6.477,33
Asia,Thailand,Economy,2015,0.9669,34
Asia,Thailand,Family,2015,1.26504,34
Asia,Thailand,Freedom,2015,0.55664,34
Asia,Thailand,Generosity,2015,0.5763,34
Asia,Thailand,Government trust,2015,0.03187,34
Asia,Thailand,Health (Life Expectancy),2015,0.7385,34
Asia,Thailand,Score,2015,6.455,34
Asia,Saudi Arabia,Economy,2015,1.39541,35
Asia,Saudi Arabia,Family,2015,1.08393,35
Asia,Saudi Arabia,Freedom,2015,0.31048,35
Asia,Saudi Arabia,Generosity,2015,0.13706,35
Asia,Saudi Arabia,Government trust,2015,0.32524,35
Asia,Saudi Arabia,Health (Life Expectancy),2015,0.72025,35
Asia,Saudi Arabia,Score,2015,6.411,35
Europe,Spain,Economy,2015,1.23011,36
Europe,Spain,Family,2015,1.31379,36
Europe,Spain,Freedom,2015,0.45951,36
Europe,Spain,Generosity,2015,0.18227,36
Europe,Spain,Government trust,2015,0.06398,36
Europe,Spain,Health (Life Expectancy),2015,0.95562,36
Europe,Spain,Score,2015,6.329,36
Europe,Malta,Economy,2015,1.2074,37
Europe,Malta,Family,2015,1.30203,37
Europe,Malta,Freedom,2015,0.60365,37
Europe,Malta,Generosity,2015,0.51752,37
Europe,Malta,Government trust,2015,0.13586,37
Europe,Malta,Health (Life Expectancy),2015,0.88721,37
Europe,Malta,Score,2015,6.302,37
Asia,Taiwan,Economy,2015,1.29098,38
Asia,Taiwan,Family,2015,1.07617,38
Asia,Taiwan,Freedom,2015,0.3974,38
Asia,Taiwan,Generosity,2015,0.25376,38
Asia,Taiwan,Government trust,2015,0.08129,38
Asia,Taiwan,Health (Life Expectancy),2015,0.8753,38
Asia,Taiwan,Score,2015,6.298,38
Asia,Kuwait,Economy,2015,1.55422,39
Asia,Kuwait,Family,2015,1.16594,39
Asia,Kuwait,Freedom,2015,0.55499,39
Asia,Kuwait,Generosity,2015,0.16228,39
Asia,Kuwait,Government trust,2015,0.25609,39
Asia,Kuwait,Health (Life Expectancy),2015,0.72492,39
Asia,Kuwait,Score,2015,6.295,39
South America,Suriname,Economy,2015,0.99534,40
South America,Suriname,Family,2015,0.972,40
South America,Suriname,Freedom,2015,0.59657,40
South America,Suriname,Generosity,2015,0.16991,40
South America,Suriname,Government trust,2015,0.13633,40
South America,Suriname,Health (Life Expectancy),2015,0.6082,40
South America,Suriname,Score,2015,6.269,40
North America,Trinidad and Tobago,Economy,2015,1.21183,41
North America,Trinidad and Tobago,Family,2015,1.18354,41
North America,Trinidad and Tobago,Freedom,2015,0.55884,41
North America,Trinidad and Tobago,Generosity,2015,0.31844,41
North America,Trinidad and Tobago,Government trust,2015,0.0114,41
North America,Trinidad and Tobago,Health (Life Expectancy),2015,0.61483,41
North America,Trinidad and Tobago,Score,2015,6.168,41
North America,El Salvador,Economy,2015,0.76454,42
North America,El Salvador,Family,2015,1.02507,42
North America,El Salvador,Freedom,2015,0.4035,42
North America,El Salvador,Generosity,2015,0.10692,42
North America,El Salvador,Government trust,2015,0.11776,42
North America,El Salvador,Health (Life Expectancy),2015,0.67737,42
North America,El Salvador,Score,2015,6.13,42
North America,Guatemala,Economy,2015,0.74553,43
North America,Guatemala,Family,2015,1.04356,43
North America,Guatemala,Freedom,2015,0.57733,43
North America,Guatemala,Generosity,2015,0.27489,43
North America,Guatemala,Government trust,2015,0.09472,43
North America,Guatemala,Health (Life Expectancy),2015,0.64425,43
North America,Guatemala,Score,2015,6.123,43
Asia,Uzbekistan,Economy,2015,0.63244,44
Asia,Uzbekistan,Family,2015,1.34043,44
Asia,Uzbekistan,Freedom,2015,0.65821,44
Asia,Uzbekistan,Generosity,2015,0.22837,44
Asia,Uzbekistan,Government trust,2015,0.30826,44
Asia,Uzbekistan,Health (Life Expectancy),2015,0.59772,44
Asia,Uzbekistan,Score,2015,6.003,44
Europe,Slovakia,Economy,2015,1.16891,45
Europe,Slovakia,Family,2015,1.26999,45
Europe,Slovakia,Freedom,2015,0.31751,45
Europe,Slovakia,Generosity,2015,0.16893,45
Europe,Slovakia,Government trust,2015,0.03431,45
Europe,Slovakia,Health (Life Expectancy),2015,0.78902,45
Europe,Slovakia,Score,2015,5.995,45
Asia,Japan,Economy,2015,1.27074,46
Asia,Japan,Family,2015,1.25712,46
Asia,Japan,Freedom,2015,0.49615,46
Asia,Japan,Generosity,2015,0.10705,46
Asia,Japan,Government trust,2015,0.1806,46
Asia,Japan,Health (Life Expectancy),2015,0.99111,46
Asia,Japan,Score,2015,5.987,46
Asia,South Korea,Economy,2015,1.24461,47
Asia,South Korea,Family,2015,0.95774,47
Asia,South Korea,Freedom,2015,0.33208,47
Asia,South Korea,Generosity,2015,0.18557,47
Asia,South Korea,Government trust,2015,0.07857,47
Asia,South Korea,Health (Life Expectancy),2015,0.96538,47
Asia,South Korea,Score,2015,5.984,47
South America,Ecuador,Economy,2015,0.86402,48
South America,Ecuador,Family,2015,0.99903,48
South America,Ecuador,Freedom,2015,0.48574,48
South America,Ecuador,Generosity,2015,0.11541,48
South America,Ecuador,Government trust,2015,0.1809,48
South America,Ecuador,Health (Life Expectancy),2015,0.79075,48
South America,Ecuador,Score,2015,5.975,48
Asia,Bahrain,Economy,2015,1.32376,49
Asia,Bahrain,Family,2015,1.21624,49
Asia,Bahrain,Freedom,2015,0.45492,49
Asia,Bahrain,Generosity,2015,0.17362,49
Asia,Bahrain,Government trust,2015,0.306,49
Asia,Bahrain,Health (Life Expectancy),2015,0.74716,49
Asia,Bahrain,Score,2015,5.96,49
Europe,Italy,Economy,2015,1.25114,50
Europe,Italy,Family,2015,1.19777,50
Europe,Italy,Freedom,2015,0.26236,50
Europe,Italy,Generosity,2015,0.22823,50
Europe,Italy,Government trust,2015,0.02901,50
Europe,Italy,Health (Life Expectancy),2015,0.95446,50
Europe,Italy,Score,2015,5.948,50
South America,Bolivia,Economy,2015,0.68133,51
South America,Bolivia,Family,2015,0.97841,51
South America,Bolivia,Freedom,2015,0.57414,51
South America,Bolivia,Generosity,2015,0.20536,51
South America,Bolivia,Government trust,2015,0.088,51
South America,Bolivia,Health (Life Expectancy),2015,0.5392,51
South America,Bolivia,Score,2015,5.89,51
Europe,Moldova,Economy,2015,0.59448,52
Europe,Moldova,Family,2015,1.01528,52
Europe,Moldova,Freedom,2015,0.32818,52
Europe,Moldova,Generosity,2015,0.20951,52
Europe,Moldova,Government trust,2015,0.01615,52
Europe,Moldova,Health (Life Expectancy),2015,0.61826,52
Europe,Moldova,Score,2015,5.889,52
South America,Paraguay,Economy,2015,0.75985,53
South America,Paraguay,Family,2015,1.30477,53
South America,Paraguay,Freedom,2015,0.53899,53
South America,Paraguay,Generosity,2015,0.3424,53
South America,Paraguay,Government trust,2015,0.08242,53
South America,Paraguay,Health (Life Expectancy),2015,0.66098,53
South America,Paraguay,Score,2015,5.878,53
Asia,Kazakhstan,Economy,2015,1.12254,54
Asia,Kazakhstan,Family,2015,1.12241,54
Asia,Kazakhstan,Freedom,2015,0.51649,54
Asia,Kazakhstan,Generosity,2015,0.11827,54
Asia,Kazakhstan,Government trust,2015,0.08454,54
Asia,Kazakhstan,Health (Life Expectancy),2015,0.64368,54
Asia,Kazakhstan,Score,2015,5.855,54
Europe,Slovenia,Economy,2015,1.18498,55
Europe,Slovenia,Family,2015,1.27385,55
Europe,Slovenia,Freedom,2015,0.60855,55
Europe,Slovenia,Generosity,2015,0.25328,55
Europe,Slovenia,Government trust,2015,0.03787,55
Europe,Slovenia,Health (Life Expectancy),2015,0.87337,55
Europe,Slovenia,Score,2015,5.848,55
Europe,Lithuania,Economy,2015,1.14723,56
Europe,Lithuania,Family,2015,1.25745,56
Europe,Lithuania,Freedom,2015,0.21342,56
Europe,Lithuania,Generosity,2015,0.02641,56
Europe,Lithuania,Government trust,2015,0.01031,56
Europe,Lithuania,Health (Life Expectancy),2015,0.73128,56
Europe,Lithuania,Score,2015,5.833,56
North America,Nicaragua,Economy,2015,0.59325,57
North America,Nicaragua,Family,2015,1.14184,57
North America,Nicaragua,Freedom,2015,0.55475,57
North America,Nicaragua,Generosity,2015,0.27815,57
North America,Nicaragua,Government trust,2015,0.19317,57
North America,Nicaragua,Health (Life Expectancy),2015,0.74314,57
North America,Nicaragua,Score,2015,5.828,57
South America,Peru,Economy,2015,0.90019,58
South America,Peru,Family,2015,0.97459,58
South America,Peru,Freedom,2015,0.41496,58
South America,Peru,Generosity,2015,0.14982,58
South America,Peru,Government trust,2015,0.05989,58
South America,Peru,Health (Life Expectancy),2015,0.73017,58
South America,Peru,Score,2015,5.824,58
Europe,Belarus,Economy,2015,1.03192,59
Europe,Belarus,Family,2015,1.23289,59
Europe,Belarus,Freedom,2015,0.37938,59
Europe,Belarus,Generosity,2015,0.11046,59
Europe,Belarus,Government trust,2015,0.1909,59
Europe,Belarus,Health (Life Expectancy),2015,0.73608,59
Europe,Belarus,Score,2015,5.813,59
Europe,Poland,Economy,2015,1.12555,60
Europe,Poland,Family,2015,1.27948,60
Europe,Poland,Freedom,2015,0.53122,60
Europe,Poland,Generosity,2015,0.16759,60
Europe,Poland,Government trust,2015,0.04212,60
Europe,Poland,Health (Life Expectancy),2015,0.77903,60
Europe,Poland,Score,2015,5.791,60
Asia,Malaysia,Economy,2015,1.12486,61
Asia,Malaysia,Family,2015,1.07023,61
Asia,Malaysia,Freedom,2015,0.53024,61
Asia,Malaysia,Generosity,2015,0.33075,61
Asia,Malaysia,Government trust,2015,0.10501,61
Asia,Malaysia,Health (Life Expectancy),2015,0.72394,61
Asia,Malaysia,Score,2015,5.77,61
Europe,Croatia,Economy,2015,1.08254,62
Europe,Croatia,Family,2015,0.79624,62
Europe,Croatia,Freedom,2015,0.25883,62
Europe,Croatia,Generosity,2015,0.05444,62
Europe,Croatia,Government trust,2015,0.0243,62
Europe,Croatia,Health (Life Expectancy),2015,0.78805,62
Europe,Croatia,Score,2015,5.759,62
Africa,Libya,Economy,2015,1.13145,63
Africa,Libya,Family,2015,1.11862,63
Africa,Libya,Freedom,2015,0.41668,63
Africa,Libya,Generosity,2015,0.18295,63
Africa,Libya,Government trust,2015,0.11023,63
Africa,Libya,Health (Life Expectancy),2015,0.7038,63
Africa,Libya,Score,2015,5.754,63
Europe,Russia,Economy,2015,1.13764,64
Europe,Russia,Family,2015,1.23617,64
Europe,Russia,Freedom,2015,0.36679,64
Europe,Russia,Generosity,2015,0.00199,64
Europe,Russia,Government trust,2015,0.03005,64
Europe,Russia,Health (Life Expectancy),2015,0.66926,64
Europe,Russia,Score,2015,5.716,64
North America,Jamaica,Economy,2015,0.81038,65
North America,Jamaica,Family,2015,1.15102,65
North America,Jamaica,Freedom,2015,0.50442,65
North America,Jamaica,Generosity,2015,0.2123,65
North America,Jamaica,Government trust,2015,0.02299,65
North America,Jamaica,Health (Life Expectancy),2015,0.68741,65
North America,Jamaica,Score,2015,5.709,65
Asia,North Cyprus,Economy,2015,1.20806,66
Asia,North Cyprus,Family,2015,1.07008,66
Asia,North Cyprus,Freedom,2015,0.49027,66
Asia,North Cyprus,Generosity,2015,0.26169,66
Asia,North Cyprus,Government trust,2015,0.1428,66
Asia,North Cyprus,Health (Life Expectancy),2015,0.92356,66
Asia,North Cyprus,Score,2015,5.695,66
Asia,Cyprus,Economy,2015,1.20813,67
Asia,Cyprus,Family,2015,0.89318,67
Asia,Cyprus,Freedom,2015,0.40672,67
Asia,Cyprus,Generosity,2015,0.30638,67
Asia,Cyprus,Government trust,2015,0.06146,67
Asia,Cyprus,Health (Life Expectancy),2015,0.92356,67
Asia,Cyprus,Score,2015,5.689,67
Africa,Algeria,Economy,2015,0.93929,68
Africa,Algeria,Family,2015,1.07772,68
Africa,Algeria,Freedom,2015,0.28579,68
Africa,Algeria,Generosity,2015,0.07822,68
Africa,Algeria,Government trust,2015,0.17383,68
Africa,Algeria,Health (Life Expectancy),2015,0.61766,68
Africa,Algeria,Score,2015,5.605,68
Europe,Kosovo,Economy,2015,0.80148,69
Europe,Kosovo,Family,2015,0.81198,69
Europe,Kosovo,Freedom,2015,0.24749,69
Europe,Kosovo,Generosity,2015,0.2831,69
Europe,Kosovo,Government trust,2015,0.04741,69
Europe,Kosovo,Health (Life Expectancy),2015,0.63132,69
Europe,Kosovo,Score,2015,5.589,69
Asia,Turkmenistan,Economy,2015,0.95847,70
Asia,Turkmenistan,Family,2015,1.22668,70
Asia,Turkmenistan,Freedom,2015,0.4761,70
Asia,Turkmenistan,Generosity,2015,0.16979,70
Asia,Turkmenistan,Government trust,2015,0.30844,70
Asia,Turkmenistan,Health (Life Expectancy),2015,0.53886,70
Asia,Turkmenistan,Score,2015,5.548,70
Africa,Mauritius,Economy,2015,1.00761,71
Africa,Mauritius,Family,2015,0.98521,71
Africa,Mauritius,Freedom,2015,0.56066,71
Africa,Mauritius,Generosity,2015,0.37744,71
Africa,Mauritius,Government trust,2015,0.07521,71
Africa,Mauritius,Health (Life Expectancy),2015,0.7095,71
Africa,Mauritius,Score,2015,5.477,71
Asia,Hong Kong SAR China,Economy,2015,1.38604,72
Asia,Hong Kong SAR China,Family,2015,1.05818,72
Asia,Hong Kong SAR China,Freedom,2015,0.59608,72
Asia,Hong Kong SAR China,Generosity,2015,0.39478,72
Asia,Hong Kong SAR China,Government trust,2015,0.37124,72
Asia,Hong Kong SAR China,Health (Life Expectancy),2015,1.01328,72
Asia,Hong Kong SAR China,Score,2015,5.474,72
Europe,Estonia,Economy,2015,1.15174,73
Europe,Estonia,Family,2015,1.22791,73
Europe,Estonia,Freedom,2015,0.44888,73
Europe,Estonia,Generosity,2015,0.0868,73
Europe,Estonia,Government trust,2015,0.15184,73
Europe,Estonia,Health (Life Expectancy),2015,0.77361,73
Europe,Estonia,Score,2015,5.429,73
Asia,Indonesia,Economy,2015,0.82827,74
Asia,Indonesia,Family,2015,1.08708,74
Asia,Indonesia,Freedom,2015,0.46611,74
Asia,Indonesia,Generosity,2015,0.51535,74
Asia,Indonesia,Government trust,2015,0,74
Asia,Indonesia,Health (Life Expectancy),2015,0.63793,74
Asia,Indonesia,Score,2015,5.399,74
Asia,Vietnam,Economy,2015,0.63216,75
Asia,Vietnam,Family,2015,0.91226,75
Asia,Vietnam,Freedom,2015,0.59444,75
Asia,Vietnam,Generosity,2015,0.1686,75
Asia,Vietnam,Government trust,2015,0.10441,75
Asia,Vietnam,Health (Life Expectancy),2015,0.74676,75
Asia,Vietnam,Score,2015,5.36,75
Asia,Turkey,Economy,2015,1.06098,76
Asia,Turkey,Family,2015,0.94632,76
Asia,Turkey,Freedom,2015,0.22815,76
Asia,Turkey,Generosity,2015,0.12253,76
Asia,Turkey,Government trust,2015,0.15746,76
Asia,Turkey,Health (Life Expectancy),2015,0.73172,76
Asia,Turkey,Score,2015,5.332,76
Asia,Kyrgyzstan,Economy,2015,0.47428,77
Asia,Kyrgyzstan,Family,2015,1.15115,77
Asia,Kyrgyzstan,Freedom,2015,0.43477,77
Asia,Kyrgyzstan,Generosity,2015,0.3003,77
Asia,Kyrgyzstan,Government trust,2015,0.04232,77
Asia,Kyrgyzstan,Health (Life Expectancy),2015,0.65088,77
Asia,Kyrgyzstan,Score,2015,5.286,77
Africa,Nigeria,Economy,2015,0.65435,78
Africa,Nigeria,Family,2015,0.90432,78
Africa,Nigeria,Freedom,2015,0.34334,78
Africa,Nigeria,Generosity,2015,0.27233,78
Africa,Nigeria,Government trust,2015,0.0403,78
Africa,Nigeria,Health (Life Expectancy),2015,0.16007,78
Africa,Nigeria,Score,2015,5.268,78
Asia,Bhutan,Economy,2015,0.77042,79
Asia,Bhutan,Family,2015,1.10395,79
Asia,Bhutan,Freedom,2015,0.53206,79
Asia,Bhutan,Generosity,2015,0.47998,79
Asia,Bhutan,Government trust,2015,0.15445,79
Asia,Bhutan,Health (Life Expectancy),2015,0.57407,79
Asia,Bhutan,Score,2015,5.253,79
Asia,Azerbaijan,Economy,2015,1.02389,80
Asia,Azerbaijan,Family,2015,0.93793,80
Asia,Azerbaijan,Freedom,2015,0.3703,80
Asia,Azerbaijan,Generosity,2015,0.07799,80
Asia,Azerbaijan,Government trust,2015,0.16065,80
Asia,Azerbaijan,Health (Life Expectancy),2015,0.64045,80
Asia,Azerbaijan,Score,2015,5.212,80
Asia,Pakistan,Economy,2015,0.59543,81
Asia,Pakistan,Family,2015,0.41411,81
Asia,Pakistan,Freedom,2015,0.12102,81
Asia,Pakistan,Generosity,2015,0.33671,81
Asia,Pakistan,Government trust,2015,0.10464,81
Asia,Pakistan,Health (Life Expectancy),2015,0.51466,81
Asia,Pakistan,Score,2015,5.194,81
Asia,Jordan,Economy,2015,0.90198,82
Asia,Jordan,Family,2015,1.05392,82
Asia,Jordan,Freedom,2015,0.40661,82
Asia,Jordan,Generosity,2015,0.11053,82
