Continent,Country,Key,Year,Rank,Score,Value
North America,Costa Rica,Generosity,2015,12,7.226,0.25497
North America,Costa Rica,Government trust,2015,12,7.226,0.10583
North America,Costa Rica,Health (Life Expectancy),2015,12,7.226,0.86027
Europe,Austria,Economy,2015,13,7.2,1.33723
Europe,Austria,Family,2015,13,7.2,1.29704
Europe,Austria,Freedom,2015,13,7.2,0.62433
Europe,Austria,Generosity,2015,13,7.2,0.33088
Europe,Austria,Government trust,2015,13,7.2,0.18676
Europe,Austria,Health (Life Expectancy),2015,13,7.2,0.89042
North America,Mexico,Economy,2015,14,7.187,1.02054
North America,Mexico,Family,2015,14,7.187,0.91451
North America,Mexico,Freedom,2015,14,7.187,0.48181
North America,Mexico,Generosity,2015,14,7.187,0.14074
North America,Mexico,Government trust,2015,14,7.187,0.21312
North America,Mexico,Health (Life Expectancy),2015,14,7.187,0.81444
North America,United States,Economy,2015,15,7.119,1.39451
North America,United States,Family,2015,15,7.119,1.24711
North America,United States,Freedom,2015,15,7.119,0.54604
North America,United States,Generosity,2015,15,7.119,0.40105
North America,United States,Government trust,2015,15,7.119,0.1589
North America,United States,Health (Life Expectancy),2015,15,7.119,0.86179
South America,Brazil,Economy,2015,16,6.983,0.98124
South America,Brazil,Family,2015,16,6.983,1.23287
South America,Brazil,Freedom,2015,16,6.983,0.49049
South America,Brazil,Generosity,2015,16,6.983,0.14574
South America,Brazil,Government trust,2015,16,6.983,0.17521
South America,Brazil,Health (Life Expectancy),2015,16,6.983,0.69702
Europe,Luxembourg,Economy,2015,17,6.946,1.56391
Europe,Luxembourg,Family,2015,17,6.946,1.21963
Europe,Luxembourg,Freedom,2015,17,6.946,0.61583
Europe,Luxembourg,Generosity,2015,17,6.946,0.28034
Europe,Luxembourg,Government trust,2015,17,6.946,0.37798
Europe,Luxembourg,Health (Life Expectancy),2015,17,6.946,0.91894
Europe,Ireland,Economy,2015,18,6.94,1.33596
Europe,Ireland,Family,2015,18,6.94,1.36948
Europe,Ireland,Freedom,2015,18,6.94,0.61777
Europe,Ireland,Generosity,2015,18,6.94,0.45901
Europe,Ireland,Government trust,2015,18,6.94,0.28703
Europe,Ireland,Health (Life Expectancy),2015,18,6.94,0.89533
Europe,Belgium,Economy,2015,19,6.937,1.30782
Europe,Belgium,Family,2015,19,6.937,1.28566
Europe,Belgium,Freedom,2015,19,6.937,0.5845
Europe,Belgium,Generosity,2015,19,6.937,0.2225
Europe,Belgium,Government trust,2015,19,6.937,0.2254
Europe,Belgium,Health (Life Expectancy),2015,19,6.937,0.89667
Asia,United Arab Emirates,Economy,2015,20,6.901,1.42727
Asia,United Arab Emirates,Family,2015,20,6.901,1.12575
Asia,United Arab Emirates,Freedom,2015,20,6.901,0.64157
Asia,United Arab Emirates,Generosity,2015,20,6.901,0.26428
Asia,United Arab Emirates,Government trust,2015,20,6.901,0.38583
Asia,United Arab Emirates,Health (Life Expectancy),2015,20,6.901,0.80925
Europe,United Kingdom,Economy,2015,21,6.867,1.26637
Europe,United Kingdom,Family,2015,21,6.867,1.28548
Europe,United Kingdom,Freedom,2015,21,6.867,0.59625
Europe,United Kingdom,Generosity,2015,21,6.867,0.51912
Europe,United Kingdom,Government trust,2015,21,6.867,0.32067
Europe,United Kingdom,Health (Life Expectancy),2015,21,6.867,0.90943
Asia,Oman,Economy,2015,22,6.853,1.36011
Asia,Oman,Family,2015,22,6.853,1.08182
Asia,Oman,Freedom,2015,22,6.853,0.63274
Asia,Oman,Generosity,2015,22,6.853,0.21542
Asia,Oman,Government trust,2015,22,6.853,0.32524
Asia,Oman,Health (Life Expectancy),2015,22,6.853,0.76276
South America,Venezuela,Economy,2015,23,6.81,1.04424
South America,Venezuela,Family,2015,23,6.81,1.25596
South America,Venezuela,Freedom,2015,23,6.81,0.42908
South America,Venezuela,Generosity,2015,23,6.81,0.05841
South America,Venezuela,Government trust,2015,23,6.81,0.11069
South America,Venezuela,Health (Life Expectancy),2015,23,6.81,0.72052
Asia,Singapore,Economy,2015,24,6.798,1.52186
Asia,Singapore,Family,2015,24,6.798,1.02
Asia,Singapore,Freedom,2015,24,6.798,0.54252
Asia,Singapore,Generosity,2015,24,6.798,0.31105
Asia,Singapore,Government trust,2015,24,6.798,0.4921
Asia,Singapore,Health (Life Expectancy),2015,24,6.798,1.02525
North America,Panama,Economy,2015,25,6.786,1.06353
North America,Panama,Family,2015,25,6.786,1.1985
North America,Panama,Freedom,2015,25,6.786,0.5421
North America,Panama,Generosity,2015,25,6.786,0.24434
North America,Panama,Government trust,2015,25,6.786,0.0927
North America,Panama,Health (Life Expectancy),2015,25,6.786,0.79661
Europe,Germany,Economy,2015,26,6.75,1.32792
Europe,Germany,Family,2015,26,6.75,1.29937
Europe,Germany,Freedom,2015,26,6.75,0.61477
Europe,Germany,Generosity,2015,26,6.75,0.28214
Europe,Germany,Government trust,2015,26,6.75,0.21843
Europe,Germany,Health (Life Expectancy),2015,26,6.75,0.89186
South America,Chile,Economy,2015,27,6.67,1.10715
South America,Chile,Family,2015,27,6.67,1.12447
South America,Chile,Freedom,2015,27,6.67,0.44132
South America,Chile,Generosity,2015,27,6.67,0.33363
South America,Chile,Government trust,2015,27,6.67,0.12869
South America,Chile,Health (Life Expectancy),2015,27,6.67,0.85857
Asia,Qatar,Economy,2015,28,6.611,1.69042
Asia,Qatar,Family,2015,28,6.611,1.0786
Asia,Qatar,Freedom,2015,28,6.611,0.6404
Asia,Qatar,Generosity,2015,28,6.611,0.32573
Asia,Qatar,Government trust,2015,28,6.611,0.52208
Asia,Qatar,Health (Life Expectancy),2015,28,6.611,0.79733
Europe,France,Economy,2015,29,6.575,1.27778
Europe,France,Family,2015,29,6.575,1.26038
Europe,France,Freedom,2015,29,6.575,0.55011
Europe,France,Generosity,2015,29,6.575,0.12332
Europe,France,Government trust,2015,29,6.575,0.20646
Europe,France,Health (Life Expectancy),2015,29,6.575,0.94579
South America,Argentina,Economy,2015,30,6.574,1.05351
South America,Argentina,Family,2015,30,6.574,1.24823
South America,Argentina,Freedom,2015,30,6.574,0.44974
South America,Argentina,Generosity,2015,30,6.574,0.11451
South America,Argentina,Government trust,2015,30,6.574,0.08484
South America,Argentina,Health (Life Expectancy),2015,30,6.574,0.78723
Europe,Czech Republic,Economy,2015,31,6.505,1.17898
Europe,Czech Republic,Family,2015,31,6.505,1.20643
Europe,Czech Republic,Freedom,2015,31,6.505,0.46364
Europe,Czech Republic,Generosity,2015,31,6.505,0.10686
Europe,Czech Republic,Government trust,2015,31,6.505,0.02652
Europe,Czech Republic,Health (Life Expectancy),2015,31,6.505,0.84483
South America,Uruguay,Economy,2015,32,6.485,1.06166
South America,Uruguay,Family,2015,32,6.485,1.2089
South America,Uruguay,Freedom,2015,32,6.485,0.60362
South America,Uruguay,Generosity,2015,32,6.485,0.2324
South America,Uruguay,Government trust,2015,32,6.485,0.24558
South America,Uruguay,Health (Life Expectancy),2015,32,6.485,0.8116
South America,Colombia,Economy,2015,33,6.477,0.91861
South America,Colombia,Family,2015,33,6.477,1.24018
South America,Colombia,Freedom,2015,33,6.477,0.53466
South America,Colombia,Generosity,2015,33,6.477,0.18401
South America,Colombia,Government trust,2015,33,6.477,0.0512
South America,Colombia,Health (Life Expectancy),2015,33,6.477,0.69077
Asia,Thailand,Economy,2015,34,6.455,0.9669
Asia,Thailand,Family,2015,34,6.455,1.26504
Asia,Thailand,Freedom,2015,34,6.455,0.55664
Asia,Thailand,Generosity,2015,34,6.455,0.5763
Asia,Thailand,Government trust,2015,34,6.455,0.03187
Asia,Thailand,Health (Life Expectancy),2015,34,6.455,0.7385
Asia,Saudi Arabia,Economy,2015,35,6.411,1.39541
Asia,Saudi Arabia,Family,2015,35,6.411,1.08393
Asia,Saudi Arabia,Freedom,2015,35,6.411,0.31048
Asia,Saudi Arabia,Generosity,2015,35,6.411,0.13706
Asia,Saudi Arabia,Government trust,2015,35,6.411,0.32524
Asia,Saudi Arabia,Health (Life Expectancy),2015,35,6.411,0.72025
Europe,Spain,Economy,2015,36,6.329,1.23011
Europe,Spain,Family,2015,36,6.329,1.31379
Europe,Spain,Freedom,2015,36,6.329,0.45951
Europe,Spain,Generosity,2015,36,6.329,0.18227
Europe,Spain,Government trust,2015,36,6.329,0.06398
Europe,Spain,Health (Life Expectancy),2015,36,6.329,0.95562
Europe,Malta,Economy,2015,37,6.302,1.2074
Europe,Malta,Family,2015,37,6.302,1.30203
Europe,Malta,Freedom,2015,37,6.302,0.60365
Europe,Malta,Generosity,2015,37,6.302,0.51752
Europe,Malta,Government trust,2015,37,6.302,0.13586
Europe,Malta,Health (Life Expectancy),2015,37,6.302,0.88721
Asia,Taiwan,Economy,2015,38,6.298,1.29098
Asia,Taiwan,Family,2015,38,6.298,1.07617
Asia,Taiwan,Freedom,2015,38,6.298,0.3974
Asia,Taiwan,Generosity,2015,38,6.298,0.25376
Asia,Taiwan,Government trust,2015,38,6.298,0.08129
Asia,Taiwan,Health (Life Expectancy),2015,38,6.298,0.8753
Asia,Kuwait,Economy,2015,39,6.295,1.55422
Asia,Kuwait,Family,2015,39,6.295,1.16594
Asia,Kuwait,Freedom,2015,39,6.295,0.55499
Asia,Kuwait,Generosity,2015,39,6.295,0.16228
Asia,Kuwait,Government trust,2015,39,6.295,0.25609
Asia,Kuwait,Health (Life Expectancy),2015,39,6.295,0.72492
South America,Suriname,Economy,2015,40,6.269,0.99534
South America,Suriname,Family,2015,40,6.269,0.972
South America,Suriname,Freedom,2015,40,6.269,0.59657
South America,Suriname,Generosity,2015,40,6.269,0.16991
South America,Suriname,Government trust,2015,40,6.269,0.13633
South America,Suriname,Health (Life Expectancy),2015,40,6.269,0.6082
North America,Trinidad and Tobago,Economy,2015,41,6.168,1.21183
North America,Trinidad and Tobago,Family,2015,41,6.168,1.18354
North America,Trinidad and Tobago,Freedom,2015,41,6.168,0.55884
North America,Trinidad and Tobago,Generosity,2015,41,6.168,0.31844
North America,Trinidad and Tobago,Government trust,2015,41,6.168,0.0114
North America,Trinidad and Tobago,Health (Life Expectancy),2015,41,6.168,0.61483
North America,El Salvador,Economy,2015,42,6.13,0.76454
North America,El Salvador,Family,2015,42,6.13,1.02507
North America,El Salvador,Freedom,2015,42,6.13,0.4035
North America,El Salvador,Generosity,2015,42,6.13,0.10692
North America,El Salvador,Government trust,2015,42,6.13,0.11776
North America,El Salvador,Health (Life Expectancy),2015,42,6.13,0.67737
North America,Guatemala,Economy,2015,43,6.123,0.74553
North America,Guatemala,Family,2015,43,6.123,1.04356
North America,Guatemala,Freedom,2015,43,6.123,0.57733
North America,Guatemala,Generosity,2015,43,6.123,0.27489
North America,Guatemala,Government trust,2015,43,6.123,0.09472
North America,Guatemala,Health (Life Expectancy),2015,43,6.123,0.64425
Asia,Uzbekistan,Economy,2015,44,6.003,0.63244
Asia,Uzbekistan,Family,2015,44,6.003,1.34043
Asia,Uzbekistan,Freedom,2015,44,6.003,0.65821
Asia,Uzbekistan,Generosity,2015,44,6.003,0.22837
Asia,Uzbekistan,Government trust,2015,44,6.003,0.30826
Asia,Uzbekistan,Health (Life Expectancy),2015,44,6.003,0.59772
Europe,Slovakia,Economy,2015,45,5.995,1.16891
Europe,Slovakia,Family,2015,45,5.995,1.26999
Europe,Slovakia,Freedom,2015,45,5.995,0.31751
Europe,Slovakia,Generosity,2015,45,5.995,0.16893
Europe,Slovakia,Government trust,2015,45,5.995,0.03431
Europe,Slovakia,Health (Life Expectancy),2015,45,5.995,0.78902
Asia,Japan,Economy,2015,46,5.987,1.27074
Asia,Japan,Family,2015,46,5.987,1.25712
Asia,Japan,Freedom,2015,46,5.987,0.49615
Asia,Japan,Generosity,2015,46,5.987,0.10705
Asia,Japan,Government trust,2015,46,5.987,0.1806
Asia,Japan,Health (Life Expectancy),2015,46,5.987,0.99111
Asia,South Korea,Economy,2015,47,5.984,1.24461
Asia,South Korea,Family,2015,47,5.984,0.95774
Asia,South Korea,Freedom,2015,47,5.984,0.33208
Asia,South Korea,Generosity,2015,47,5.984,0.18557
Asia,South Korea,Government trust,2015,47,5.984,0.07857
Asia,South Korea,Health (Life Expectancy),2015,47,5.984,0.96538
South America,Ecuador,Economy,2015,48,5.975,0.86402
South America,Ecuador,Family,2015,48,5.975,0.99903
South America,Ecuador,Freedom,2015,48,5.975,0.48574
South America,Ecuador,Generosity,2015,48,5.975,0.11541
South America,Ecuador,Government trust,2015,48,5.975,0.1809
South America,Ecuador,Health (Life Expectancy),2015,48,5.975,0.79075
Asia,Bahrain,Economy,2015,49,5.96,1.32376
Asia,Bahrain,Family,2015,49,5.96,1.21624
Asia,Bahrain,Freedom,2015,49,5.96,0.45492
Asia,Bahrain,Generosity,2015,49,5.96,0.17362
Asia,Bahrain,Government trust,2015,49,5.96,0.306
Asia,Bahrain,Health (Life Expectancy),2015,49,5.96,0.74716
Europe,Italy,Economy,2015,50,5.948,1.25114
Europe,Italy,Family,2015,50,5.948,1.19777
Europe,Italy,Freedom,2015,50,5.948,0.26236
Europe,Italy,Generosity,2015,50,5.948,0.22823
Europe,Italy,Government trust,2015,50,5.948,0.02901
Europe,Italy,Health (Life Expectancy),2015,50,5.948,0.95446
South America,Bolivia,Economy,2015,51,5.89,0.68133
South America,Bolivia,Family,2015,51,5.89,0.97841
South America,Bolivia,Freedom,2015,51,5.89,0.57414
South America,Bolivia,Generosity,2015,51,5.89,0.20536
South America,Bolivia,Government trust,2015,51,5.89,0.088
South America,Bolivia,Health (Life Expectancy),2015,51,5.89,0.5392
Europe,Moldova,Economy,2015,52,5.889,0.59448
Europe,Moldova,Family,2015,52,5.889,1.01528
Europe,Moldova,Freedom,2015,52,5.889,0.32818
Europe,Moldova,Generosity,2015,52,5.889,0.20951
Europe,Moldova,Government trust,2015,52,5.889,0.01615
Europe,Moldova,Health (Life Expectancy),2015,52,5.889,0.61826
South America,Paraguay,Economy,2015,53,5.878,0.75985
South America,Paraguay,Family,2015,53,5.878,1.30477
South America,Paraguay,Freedom,2015,53,5.878,0.53899
South America,Paraguay,Generosity,2015,53,5.878,0.3424
South America,Paraguay,Government trust,2015,53,5.878,0.08242
South America,Paraguay,Health (Life Expectancy),2015,53,5.878,0.66098
Asia,Kazakhstan,Economy,2015,54,5.855,1.12254
Asia,Kazakhstan,Family,2015,54,5.855,1.12241
Asia,Kazakhstan,Freedom,2015,54,5.855,0.51649
Asia,Kazakhstan,Generosity,2015,54,5.855,0.11827
Asia,Kazakhstan,Government trust,2015,54,5.855,0.08454
Asia,Kazakhstan,Health (Life Expectancy),2015,54,5.855,0.64368
Europe,Slovenia,Economy,2015,55,5.848,1.18498
Europe,Slovenia,Family,2015,55,5.848,1.27385
Europe,Slovenia,Freedom,2015,55,5.848,0.60855
Europe,Slovenia,Generosity,2015,55,5.848,0.25328
Europe,Slovenia,Government trust,2015,55,5.848,0.03787
Europe,Slovenia,Health (Life Expectancy),2015,55,5.848,0.87337
Europe,Lithuania,Economy,2015,56,5.833,1.14723
Europe,Lithuania,Family,2015,56,5.833,1.25745
Europe,Lithuania,Freedom,2015,56,5.833,0.21342
Europe,Lithuania,Generosity,2015,56,5.833,0.02641
Europe,Lithuania,Government trust,2015,56,5.833,0.01031
Europe,Lithuania,Health (Life Expectancy),2015,56,5.833,0.73128
North America,Nicaragua,Economy,2015,57,5.828,0.59325
North America,Nicaragua,Family,2015,57,5.828,1.14184
North America,Nicaragua,Freedom,2015,57,5.828,0.55475
North America,Nicaragua,Generosity,2015,57,5.828,0.27815
North America,Nicaragua,Government trust,2015,57,5.828,0.19317
North America,Nicaragua,Health (Life Expectancy),2015,57,5.828,0.74314
South America,Peru,Economy,2015,58,5.824,0.90019
South America,Peru,Family,2015,58,5.824,0.97459
South America,Peru,Freedom,2015,58,5.824,0.41496
South America,Peru,Generosity,2015,58,5.824,0.14982
South America,Peru,Government trust,2015,58,5.824,0.05989
South America,Peru,Health (Life Expectancy),2015,58,5.824,0.73017
Europe,Belarus,Economy,2015,59,5.813,1.03192
Europe,Belarus,Family,2015,59,5.813,1.23289
Europe,Belarus,Freedom,2015,59,5.813,0.37938
Europe,Belarus,Generosity,2015,59,5.813,0.11046
Europe,Belarus,Government trust,2015,59,5.813,0.1909
Europe,Belarus,Health (Life Expectancy),2015,59,5.813,0.73608
Europe,Poland,Economy,2015,60,5.791,1.12555
Europe,Poland,Family,2015,60,5.791,1.27948
Europe,Poland,Freedom,2015,60,5.791,0.53122
Europe,Poland,Generosity,2015,60,5.791,0.16759
Europe,Poland,Government trust,2015,60,5.791,0.04212
Europe,Poland,Health (Life Expectancy),2015,60,5.791,0.77903
Asia,Malaysia,Economy,2015,61,5.77,1.12486
Asia,Malaysia,Family,2015,61,5.77,1.07023
Asia,Malaysia,Freedom,2015,61,5.77,0.53024
Asia,Malaysia,Generosity,2015,61,5.77,0.33075
Asia,Malaysia,Government trust,2015,61,5.77,0.10501
Asia,Malaysia,Health (Life Expectancy),2015,61,5.77,0.72394
Europe,Croatia,Economy,2015,62,5.759,1.08254
Europe,Croatia,Family,2015,62,5.759,0.79624
Europe,Croatia,Freedom,2015,62,5.759,0.25883
Europe,Croatia,Generosity,2015,62,5.759,0.05444
Europe,Croatia,Government trust,2015,62,5.759,0.0243
Europe,Croatia,Health (Life Expectancy),2015,62,5.759,0.78805
Africa,Libya,Economy,2015,63,5.754,1.13145
Africa,Libya,Family,2015,63,5.754,1.11862
Africa,Libya,Freedom,2015,63,5.754,0.41668
Africa,Libya,Generosity,2015,63,5.754,0.18295
Africa,Libya,Government trust,2015,63,5.754,0.11023
Africa,Libya,Health (Life Expectancy),2015,63,5.754,0.7038
Europe,Russia,Economy,2015,64,5.716,1.13764
Europe,Russia,Family,2015,64,5.716,1.23617
Europe,Russia,Freedom,2015,64,5.716,0.36679
Europe,Russia,Generosity,2015,64,5.716,0.00199
Europe,Russia,Government trust,2015,64,5.716,0.03005
Europe,Russia,Health (Life Expectancy),2015,64,5.716,0.66926
North America,Jamaica,Economy,2015,65,5.709,0.81038
North America,Jamaica,Family,2015,65,5.709,1.15102
North America,Jamaica,Freedom,2015,65,5.709,0.50442
North America,Jamaica,Generosity,2015,65,5.709,0.2123
North America,Jamaica,Government trust,2015,65,5.709,0.02299
North America,Jamaica,Health (Life Expectancy),2015,65,5.709,0.68741
Asia,North Cyprus,Economy,2015,66,5.695,1.20806
Asia,North Cyprus,Family,2015,66,5.695,1.07008
Asia,North Cyprus,Freedom,2015,66,5.695,0.49027
Asia,North Cyprus,Generosity,2015,66,5.695,0.26169
Asia,North Cyprus,Government trust,2015,66,5.695,0.1428
Asia,North Cyprus,Health (Life Expectancy),2015,66,5.695,0.92356
Asia,Cyprus,Economy,2015,67,5.689,1.20813
Asia,Cyprus,Family,2015,67,5.689,0.89318
Asia,Cyprus,Freedom,2015,67,5.689,0.40672
Asia,Cyprus,Generosity,2015,67,5.689,0.30638
Asia,Cyprus,Government trust,2015,67,5.689,0.06146
Asia,Cyprus,Health (Life Expectancy),2015,67,5.689,0.92356
Africa,Algeria,Economy,2015,68,5.605,0.93929
Africa,Algeria,Family,2015,68,5.605,1.07772
Africa,Algeria,Freedom,2015,68,5.605,0.28579
Africa,Algeria,Generosity,2015,68,5.605,0.07822
Africa,Algeria,Government trust,2015,68,5.605,0.17383
Africa,Algeria,Health (Life Expectancy),2015,68,5.605,0.61766
Europe,Kosovo,Economy,2015,69,5.589,0.80148
Europe,Kosovo,Family,2015,69,5.589,0.81198
Europe,Kosovo,Freedom,2015,69,5.589,0.24749
Europe,Kosovo,Generosity,2015,69,5.589,0.2831
Europe,Kosovo,Government trust,2015,69,5.589,0.04741
Europe,Kosovo,Health (Life Expectancy),2015,69,5.589,0.63132
Asia,Turkmenistan,Economy,2015,70,5.548,0.95847
Asia,Turkmenistan,Family,2015,70,5.548,1.22668
Asia,Turkmenistan,Freedom,2015,70,5.548,0.4761
Asia,Turkmenistan,Generosity,2015,70,5.548,0.16979
Asia,Turkmenistan,Government trust,2015,70,5.548,0.30844
Asia,Turkmenistan,Health (Life Expectancy),2015,70,5.548,0.53886
Africa,Mauritius,Economy,2015,71,5.477,1.00761
Africa,Mauritius,Family,2015,71,5.477,0.98521
Africa,Mauritius,Freedom,2015,71,5.477,0.56066
Africa,Mauritius,Generosity,2015,71,5.477,0.37744
Africa,Mauritius,Government trust,2015,71,5.477,0.07521
Africa,Mauritius,Health (Life Expectancy),2015,71,5.477,0.7095
Asia,Hong Kong SAR China,Economy,2015,72,5.474,1.38604
Asia,Hong Kong SAR China,Family,2015,72,5.474,1.05818
Asia,Hong Kong SAR China,Freedom,2015,72,5.474,0.59608
Asia,Hong Kong SAR China,Generosity,2015,72,5.474,0.39478
Asia,Hong Kong SAR China,Government trust,2015,72,5.474,0.37124
Asia,Hong Kong SAR China,Health (Life Expectancy),2015,72,5.474,1.01328
Europe,Estonia,Economy,2015,73,5.429,1.15174
Europe,Estonia,Family,2015,73,5.429,1.22791
Europe,Estonia,Freedom,2015,73,5.429,0.44888
Europe,Estonia,Generosity,2015,73,5.429,0.0868
Europe,Estonia,Government trust,2015,73,5.429,0.15184
Europe,Estonia,Health (Life Expectancy),2015,73,5.429,0.77361
Asia,Indonesia,Economy,2015,74,5.399,0.82827
Asia,Indonesia,Family,2015,74,5.399,1.08708
Asia,Indonesia,Freedom,2015,74,5.399,0.46611
Asia,Indonesia,Generosity,2015,74,5.399,0.51535
Asia,Indonesia,Government trust,2015,74,5.399,0
Asia,Indonesia,Health (Life Expectancy),2015,74,5.399,0.63793
Asia,Vietnam,Economy,2015,75,5.36,0.63216
Asia,Vietnam,Family,2015,75,5.36,0.91226
Asia,Vietnam,Freedom,2015,75,5.36,0.59444
Asia,Vietnam,Generosity,2015,75,5.36,0.1686
Asia,Vietnam,Government trust,2015,75,5.36,0.10441
Asia,Vietnam,Health (Life Expectancy),2015,75,5.36,0.74676
Asia,Turkey,Economy,2015,76,5.332,1.06098
Asia,Turkey,Family,2015,76,5.332,0.94632
Asia,Turkey,Freedom,2015,76,5.332,0.22815
Asia,Turkey,Generosity,2015,76,5.332,0.12253
Asia,Turkey,Government trust,2015,76,5.332,0.15746
Asia,Turkey,Health (Life Expectancy),2015,76,5.332,0.73172
Asia,Kyrgyzstan,Economy,2015,77,5.286,0.47428
Asia,Kyrgyzstan,Family,2015,77,5.286,1.15115
Asia,Kyrgyzstan,Freedom,2015,77,5.286,0.43477
Asia,Kyrgyzstan,Generosity,2015,77,5.286,0.3003
Asia,Kyrgyzstan,Government trust,2015,77,5.286,0.04232
Asia,Kyrgyzstan,Health (Life Expectancy),2015,77,5.286,0.65088
Africa,Nigeria,Economy,2015,78,5.268,0.65435
Africa,Nigeria,Family,2015,78,5.268,0.90432
Africa,Nigeria,Freedom,2015,78,5.268,0.34334
Africa,Nigeria,Generosity,2015,78,5.268,0.27233
Africa,Nigeria,Government trust,2015,78,5.268,0.0403
Africa,Nigeria,Health (Life Expectancy),2015,78,5.268,0.16007
Asia,Bhutan,Economy,2015,79,5.253,0.77042
Asia,Bhutan,Family,2015,79,5.253,1.10395
Asia,Bhutan,Freedom,2015,79,5.253,0.53206
Asia,Bhutan,Generosity,2015,79,5.253,0.47998
Asia,Bhutan,Government trust,2015,79,5.253,0.15445
Asia,Bhutan,Health (Life Expectancy),2015,79,5.253,0.57407
Asia,Azerbaijan,Economy,2015,80,5.212,1.02389
Asia,Azerbaijan,Family,2015,80,5.212,0.93793
Asia,Azerbaijan,Freedom,2015,80,5.212,0.3703
Asia,Azerbaijan,Generosity,2015,80,5.212,0.07799
Asia,Azerbaijan,Government trust,2015,80,5.212,0.16065
Asia,Azerbaijan,Health (Life Expectancy),2015,80,5.212,0.64045
Asia,Pakistan,Economy,2015,81,5.194,0.59543
Asia,Pakistan,Family,2015,81,5.194,0.41411
Asia,Pakistan,Freedom,2015,81,5.194,0.12102
